topicid,title,year
45,Journal on Educational Resources in Computing,2009
45,ACM Inroads,2010
45,ACM SIGCSE Bulletin,2010
45,ACM SIGPLAN Notices,2010
45,ACM Transactions on Computing Education,2010
45,Communications of the ACM,2010
45,eLearn,2010
45,ACM Inroads,2011
45,ACM SIGPLAN Notices,2011
45,ACM Transactions on Computing Education,2011
45,Communications of the ACM,2011
58,ACM SIGMIS Database,0
58,ACM SIGPLAN Notices,0
58,Journal of the ACM,1955
58,Journal of the ACM,1962
58,Communications of the ACM,1967
58,ACM SIGCSE Bulletin,1971
58,ACM Computing Surveys,1974
58,ACM SIGPLAN Notices,1975
58,ACM Computing Surveys,1976
58,ACM SIGPLAN Notices,1976
58,ACM SIGSIM Simulation Digest,1976
58,ACM SIGCSE Bulletin,1977
58,ACM SIGGRAPH Computer Graphics,1978
58,ACM SIGMETRICS Performance Evaluation Review,1978
58,ACM SIGMINI Newsletter,1978
58,ACM SIGNUM Newsletter,1978
58,ACM SIGSOFT Software Engineering Notes,1978
58,Communications of the ACM,1978
58,ACM Computing Surveys,1979
58,ACM SIGCOMM Computer Communication Review,1981
58,ACM SIGMETRICS Performance Evaluation Review,1981
58,Communications of the ACM,1981
58,Communications of the ACM,1982
58,ACM Computing Surveys,1983
58,ACM SIGCSE Bulletin,1983
58,ACM SIGGRAPH Computer Graphics,1983
58,Communications of the ACM,1983
58,ACM SIGCSE Bulletin,1984
58,ACM SIGPLAN Fortran Forum,1984
58,Communications of the ACM,1984
58,ACM SIGAda Ada Letters,1985
58,ACM SIGCHI Bulletin,1985
58,ACM SIGCSE Bulletin,1985
58,ACM SIGSMALL/PC Notes,1985
58,ACM SIGSOFT Software Engineering Notes,1985
58,Communications of the ACM,1985
58,ACM SIGAPL APL Quote Quad,1986
58,ACM SIGCHI Bulletin,1986
58,ACM SIGCSE Bulletin,1986
58,ACM SIGMICRO Newsletter,1986
58,ACM SIGOIS Bulletin,1986
58,ACM SIGPLAN Notices,1986
58,ACM SIGSOFT Software Engineering Notes,1986
58,ACM SIGUCCS Newsletter,1986
58,Communications of the ACM,1986
58,ACM SIGMIS Database,1987
58,ACM SIGPLAN Notices,1987
58,ACM SIGSOFT Software Engineering Notes,1987
58,Communications of the ACM,1987
58,ACM SIGAda Ada Letters,1988
58,ACM SIGCPR Computer Personnel,1988
58,ACM SIGMIS Database,1988
58,ACM SIGPLAN Notices,1988
58,ACM SIGSOFT Software Engineering Notes,1988
58,Communications of the ACM,1988
58,ACM SIGAPL APL Quote Quad,1989
58,ACM SIGCHI Bulletin,1989
58,ACM SIGCPR Computer Personnel,1989
58,ACM SIGCSE Bulletin,1989
58,ACM SIGPLAN Notices,1989
58,ACM SIGSAC Review,1989
58,ACM SIGSMALL/PC Notes,1989
58,ACM SIGSOFT Software Engineering Notes,1989
58,ACM SIGAPL APL Quote Quad,1990
58,ACM SIGAda Ada Letters,1990
58,ACM SIGDOC Asterisk Journal of Computer Documentation,1990
58,ACM SIGSOFT Software Engineering Notes,1990
58,Communications of the ACM,1990
58,ACM SIGAda Ada Letters,1991
58,ACM SIGCSE Bulletin,1991
58,ACM SIGPLAN Notices,1991
58,ACM SIGSAC Review,1991
58,ACM SIGSOFT Software Engineering Notes,1991
58,Communications of the ACM,1991
58,ACM SIGCAS Computers and Society,1992
58,ACM SIGCPR Computer Personnel,1992
58,ACM SIGMIS Database,1992
58,ACM SIGPLAN Notices,1992
58,ACM SIGPLAN OOPS Messenger,1992
58,ACM SIGSOFT Software Engineering Notes,1992
58,ACM Transactions on Software Engineering and Methodology,1992
58,Communications of the ACM,1992
58,ACM SIGCSE Bulletin,1993
58,ACM SIGOIS Bulletin,1993
58,ACM SIGPLAN Lisp Pointers,1993
58,ACM SIGPLAN Notices,1993
58,ACM SIGSOFT Software Engineering Notes,1993
58,Communications of the ACM,1993
58,ACM SIGAda Ada Letters,1994
58,ACM SIGCSE Bulletin,1994
58,ACM SIGMETRICS Performance Evaluation Review,1994
58,ACM SIGMIS Database,1994
58,ACM SIGSOFT Software Engineering Notes,1994
58,ACM SIGWEB Newsletter,1994
58,Communications of the ACM,1994
58,interactions,1994
58,ACM Computing Surveys,1995
58,ACM SIGACT News,1995
58,ACM SIGBIO Newsletter,1995
58,ACM SIGCHI Bulletin,1995
58,ACM SIGCSE Bulletin,1995
58,ACM SIGOIS Bulletin,1995
58,ACM SIGPLAN Notices,1995
58,ACM SIGSOFT Software Engineering Notes,1995
58,Communications of the ACM,1995
58,ACM Computing Surveys,1996
58,ACM SIGAPP Applied Computing Review,1996
58,ACM SIGAda Ada Letters,1996
58,ACM SIGCHI Bulletin,1996
58,ACM SIGCSE Bulletin,1996
58,ACM SIGCUE Outlook,1996
58,ACM SIGMIS Database,1996
58,ACM SIGMOD Record,1996
58,ACM SIGPLAN Notices,1996
58,ACM SIGSOFT Software Engineering Notes,1996
58,ACM Transactions on Software Engineering and Methodology,1996
58,Communications of the ACM,1996
58,StandardView,1996
58,ACM SIGAPP Applied Computing Review,1997
58,ACM SIGCSE Bulletin,1997
58,ACM SIGMIS Database,1997
58,ACM SIGNUM Newsletter,1997
58,ACM SIGPLAN Notices,1997
58,ACM SIGSOFT Software Engineering Notes,1997
58,ACM Transactions on Software Engineering and Methodology,1997
58,Communications of the ACM,1997
58,ACM SIGAda Ada Letters,1998
58,ACM SIGCHI Bulletin,1998
58,ACM SIGCSE Bulletin,1998
58,ACM SIGGROUP Bulletin,1998
58,ACM SIGMIS Database,1998
58,ACM SIGPLAN Notices,1998
58,ACM SIGSOFT Software Engineering Notes,1998
58,ACM Transactions on Software Engineering and Methodology,1998
58,Communications of the ACM,1998
58,Crossroads,1998
58,netWorker,1998
58,ACM SIGAda Ada Letters,1999
58,ACM SIGCSE Bulletin,1999
58,ACM SIGMIS Database,1999
58,ACM SIGPLAN Fortran Forum,1999
58,ACM SIGSOFT Software Engineering Notes,1999
58,Communications of the ACM,1999
58,Crossroads,1999
58,interactions,1999
58,ACM SIGAPL APL Quote Quad,2000
58,ACM SIGAPP Applied Computing Review,2000
58,ACM SIGCSE Bulletin,2000
58,ACM SIGMIS Database,2000
58,ACM SIGSOFT Software Engineering Notes,2000
58,Communications of the ACM,2000
58,Crossroads,2000
58,Ubiquity,2000
58,ACM SIGAda Ada Letters,2001
58,ACM SIGCSE Bulletin,2001
58,ACM SIGMOD Record,2001
58,ACM SIGSOFT Software Engineering Notes,2001
58,Communications of the ACM,2001
58,Ubiquity,2001
58,interactions,2001
58,ACM Computing Surveys,2002
58,ACM Journal of Computer Documentation,2002
58,ACM SIGCSE Bulletin,2002
58,ACM SIGMIS Database,2002
58,Communications of the ACM,2002
58,ACM SIGAda Ada Letters,2003
58,ACM SIGCSE Bulletin,2003
58,ACM SIGSOFT Software Engineering Notes,2003
58,Communications of the ACM,2003
58,Journal of the ACM,2003
58,Queue,2003
58,interactions,2003
58,ACM SIGARCH Computer Architecture News,2004
58,ACM SIGCSE Bulletin,2004
58,ACM SIGMIS Database,2004
58,ACM SIGOPS Operating Systems Review,2004
58,ACM SIGPLAN Notices,2004
58,ACM SIGSOFT Software Engineering Notes,2004
58,Communications of the ACM,2004
58,Journal on Educational Resources in Computing,2004
58,Queue,2004
58,Ubiquity,2004
58,ACM SIGAda Ada Letters,2005
58,ACM SIGBED Review,2005
58,ACM SIGCSE Bulletin,2005
58,ACM SIGITE Newsletter,2005
58,ACM SIGMIS Database,2005
58,ACM SIGMOD Record,2005
58,ACM SIGPLAN Notices,2005
58,ACM SIGSOFT Software Engineering Notes,2005
58,ACM Transactions on Software Engineering and Methodology,2005
58,Communications of the ACM,2005
58,Crossroads,2005
58,Queue,2005
58,interactions,2005
58,ACM SIGCSE Bulletin,2006
58,ACM SIGKDD Explorations Newsletter,2006
58,ACM SIGSOFT Software Engineering Notes,2006
58,Communications of the ACM,2006
58,Queue,2006
58,ACM SIGCSE Bulletin,2007
58,ACM SIGIR Forum,2007
58,ACM SIGSOFT Software Engineering Notes,2007
58,Communications of the ACM,2007
58,Crossroads,2007
58,Queue,2007
58,interactions,2007
58,netWorker,2007
58,ACM Computing Surveys,2008
58,ACM SIGBED Review,2008
58,ACM SIGCSE Bulletin,2008
58,ACM SIGMETRICS Performance Evaluation Review,2008
58,ACM SIGSOFT Software Engineering Notes,2008
58,ACM Transactions on Software Engineering and Methodology,2008
58,Communications of the ACM,2008
58,eLearn,2008
58,ACM SIGBED Review,2009
58,ACM SIGCSE Bulletin,2009
58,ACM SIGMIS Database,2009
58,ACM SIGSOFT Software Engineering Notes,2009
58,ACM Transactions on Autonomous and Adaptive Systems,2009
58,Communications of the ACM,2009
58,Computers in Entertainment,2009
58,Crossroads,2009
58,interactions,2009
58,ACM SIGMIS Database,2010
58,ACM SIGPLAN Notices,2010
58,ACM SIGSOFT Software Engineering Notes,2010
58,ACM Transactions on Management Information Systems,2010
58,ACM Transactions on Software Engineering and Methodology,2010
58,Communications of the ACM,2010
58,"XRDS: Crossroads, The ACM Magazine for Students",2010
58,ACM Computing Surveys,2011
58,ACM SIGARCH Computer Architecture News,2011
58,ACM SIGMIS Database,2011
58,ACM SIGPLAN Notices,2011
58,ACM SIGSOFT Software Engineering Notes,2011
58,Communications of the ACM,2011
61,Journal of the ACM,1960
61,Communications of the ACM,1961
61,Journal of the ACM,1961
61,Journal of the ACM,1962
61,Journal of the ACM,1963
61,Communications of the ACM,1964
61,Communications of the ACM,1965
61,Journal of the ACM,1968
61,Communications of the ACM,1969
61,Journal of the ACM,1973
61,Communications of the ACM,1974
61,Journal of the ACM,1974
61,Communications of the ACM,1975
61,Journal of the ACM,1975
61,Journal of the ACM,1976
61,ACM SIGARCH Computer Architecture News,1977
61,ACM SIGIR Forum,1977
61,ACM SIGMOD Record,1977
61,Journal of the ACM,1977
61,ACM SIGIR Forum,1978
61,Journal of the ACM,1978
61,ACM SIGAPL APL Quote Quad,1979
61,ACM SIGIR Forum,1980
61,ACM SIGSMALL Newsletter,1981
61,ACM SIGSOC Bulletin,1981
61,Journal of the ACM,1982
61,Communications of the ACM,1983
61,ACM SIGOA Newsletter,1984
61,Communications of the ACM,1984
61,ACM Computing Surveys,1985
61,ACM SIGMOD Record,1985
61,Communications of the ACM,1985
61,ACM SIGBIO Newsletter,1986
61,ACM SIGCHI Bulletin,1986
61,ACM SIGIR Forum,1986
61,ACM SIGOIS Bulletin,1986
61,ACM Transactions on Mathematical Software,1986
61,Communications of the ACM,1986
61,ACM SIGIR Forum,1987
61,ACM SIGMOD Record,1987
61,Communications of the ACM,1987
61,ACM SIGIR Forum,1988
61,ACM SIGOIS Bulletin,1988
61,Communications of the ACM,1988
61,ACM SIGARCH Computer Architecture News,1989
61,ACM SIGCHI Bulletin,1989
61,ACM SIGIR Forum,1989
61,ACM SIGCHI Bulletin,1990
61,ACM SIGOIS Bulletin,1990
61,Communications of the ACM,1990
61,ACM SIGCOMM Computer Communication Review,1991
61,ACM SIGIR Forum,1991
61,ACM SIGOIS Bulletin,1991
61,ACM SIGOPS Operating Systems Review,1991
61,ACM SIGPLAN Notices,1991
61,ACM SIGSIM Simulation Digest,1991
61,ACM SIGIR Forum,1992
61,ACM SIGMOD Record,1992
61,Communications of the ACM,1992
61,ACM SIGIR Forum,1993
61,ACM SIGMOD Record,1994
61,Communications of the ACM,1994
61,IEEE/ACM Transactions on Networking,1994
61,ACM Computing Surveys,1995
61,ACM SIGIR Forum,1995
61,ACM SIGOIS Bulletin,1995
61,Communications of the ACM,1995
61,interactions,1995
61,ACM Computing Surveys,1996
61,ACM SIGIR Forum,1996
61,ACM SIGMOD Record,1996
61,ACM Transactions on Computer Systems,1996
61,Communications of the ACM,1996
61,ACM SIGIR Forum,1997
61,ACM SIGMOD Record,1997
61,ACM SIGSOFT Software Engineering Notes,1997
61,ACM Transactions on Software Engineering and Methodology,1997
61,ACM Computing Surveys,1998
61,ACM SIGMOD Record,1998
61,ACM Computing Surveys,1999
61,ACM SIGDOC Asterisk Journal of Computer Documentation,1999
61,ACM SIGIR Forum,1999
61,ACM SIGSOFT Software Engineering Notes,1999
61,ACM Transactions on Software Engineering and Methodology,1999
61,Journal of the ACM,1999
61,interactions,1999
61,ACM Computing Surveys,2000
61,ACM SIGAPL APL Quote Quad,2000
61,ACM SIGIR Forum,2000
61,ACM SIGMETRICS Performance Evaluation Review,2000
61,Crossroads,2000
61,netWorker,2000
61,ACM SIGMOD Record,2001
61,Communications of the ACM,2001
61,Journal of the ACM,2001
61,ACM Computing Surveys,2002
61,ACM Transactions on Asian Language Information Processing,2002
61,Communications of the ACM,2002
61,ACM SIGIR Forum,2003
61,ACM Transactions on Asian Language Information Processing,2003
61,Journal of the ACM,2003
61,eLearn,2003
61,ACM Transactions on Asian Language Information Processing,2004
61,Queue,2004
61,ACM SIGIR Forum,2005
61,ACM SIGKDD Explorations Newsletter,2005
61,ACM SIGMOD Record,2005
61,ACM SIGOPS Operating Systems Review,2005
61,ACM SIGSOFT Software Engineering Notes,2005
61,ACM Transactions on Asian Language Information Processing,2005
61,ACM Transactions on Information and System Security,2005
61,ACM SIGIR Forum,2006
61,ACM Transactions on Asian Language Information Processing,2006
61,"ACM Transactions on Multimedia Computing, Communications, and Applications",2006
61,ACM Transactions on Speech and Language Processing,2006
61,Communications of the ACM,2006
61,Queue,2006
61,ACM SIGIR Forum,2007
61,ACM SIGMETRICS Performance Evaluation Review,2007
61,ACM Transactions on Software Engineering and Methodology,2007
61,Communications of the ACM,2007
61,ACM SIGCSE Bulletin,2008
61,ACM SIGIR Forum,2008
61,ACM SIGSOFT Software Engineering Notes,2008
61,Ubiquity,2008
61,ACM SIGIR Forum,2009
61,ACM SIGMOD Record,2009
61,ACM Transactions on Asian Language Information Processing,2009
61,Communications of the ACM,2009
61,ACM SIGSOFT Software Engineering Notes,2010
61,ACM Transactions on Asian Language Information Processing,2010
61,ACM Transactions on Sensor Networks,2010
61,Communications of the ACM,2010
61,Journal of Experimental Algorithmics,2010
61,ACM SIGIR Forum,2011
61,ACM SIGMOD Record,2011
61,ACM Transactions on Interactive Intelligent Systems,2011
61,ACM Transactions on Management Information Systems,2011
61,Communications of the ACM,2011
61,Journal of Experimental Algorithmics,2011
67,Queue,0
67,Journal of the ACM,1954
67,Journal of the ACM,1956
67,Journal of the ACM,1957
67,Journal of the ACM,1958
67,Communications of the ACM,1961
67,Journal of the ACM,1961
67,Communications of the ACM,1963
67,Communications of the ACM,1964
67,Journal of the ACM,1964
67,Communications of the ACM,1965
67,Journal of the ACM,1965
67,Communications of the ACM,1967
67,Journal of the ACM,1967
67,Journal of the ACM,1968
67,ACM Computing Surveys,1969
67,Communications of the ACM,1969
67,ACM Computing Surveys,1970
67,ACM SIGPLAN Notices,1970
67,Journal of the ACM,1970
67,ACM Computing Surveys,1971
67,ACM SIGCSE Bulletin,1971
67,ACM SIGPLAN Notices,1971
67,ACM Computing Surveys,1972
67,ACM SIGACT News,1972
67,ACM SIGCSE Bulletin,1972
67,ACM SIGPLAN Notices,1972
67,Journal of the ACM,1972
67,ACM Computing Surveys,1973
67,ACM SIGARCH Computer Architecture News,1973
67,ACM SIGCSE Bulletin,1973
67,ACM SIGOPS Operating Systems Review,1973
67,ACM SIGPLAN Notices,1973
67,Journal of the ACM,1973
67,ACM Computing Surveys,1974
67,ACM SIGCSE Bulletin,1974
67,ACM SIGMETRICS Performance Evaluation Review,1974
67,ACM SIGPLAN Notices,1974
67,Communications of the ACM,1974
67,Journal of the ACM,1974
67,ACM Computing Surveys,1975
67,ACM SIGCSE Bulletin,1975
67,ACM SIGOPS Operating Systems Review,1975
67,ACM SIGPLAN Notices,1975
67,Communications of the ACM,1975
67,ACM Computing Surveys,1976
67,ACM SIGARCH Computer Architecture News,1976
67,ACM SIGCSE Bulletin,1976
67,ACM SIGCUE Outlook,1976
67,ACM SIGGRAPH Computer Graphics,1976
67,ACM SIGMOD Record,1976
67,ACM SIGPLAN Notices,1976
67,ACM SIGSIM Simulation Digest,1976
67,Journal of the ACM,1976
67,ACM Computing Surveys,1977
67,ACM SIGARCH Computer Architecture News,1977
67,ACM SIGART Bulletin,1977
67,ACM SIGCSE Bulletin,1977
67,ACM SIGIR Forum,1977
67,ACM SIGMOD Record,1977
67,ACM SIGOPS Operating Systems Review,1977
67,ACM SIGPLAN Notices,1977
67,ACM SIGSOFT Software Engineering Notes,1977
67,Journal of the ACM,1977
67,ACM SIGCSE Bulletin,1978
67,ACM SIGGRAPH Computer Graphics,1978
67,ACM SIGMETRICS Performance Evaluation Review,1978
67,ACM SIGMINI Newsletter,1978
67,ACM SIGNUM Newsletter,1978
67,ACM SIGPLAN Notices,1978
67,ACM SIGSOFT Software Engineering Notes,1978
67,Communications of the ACM,1978
67,Journal of the ACM,1978
67,ACM Computing Surveys,1979
67,ACM SIGAPL APL Quote Quad,1979
67,ACM SIGCSE Bulletin,1979
67,ACM SIGMETRICS Performance Evaluation Review,1979
67,ACM SIGPLAN Notices,1979
67,ACM SIGSIM Simulation Digest,1979
67,ACM Transactions on Mathematical Software,1979
67,ACM Transactions on Programming Languages and Systems,1979
67,Journal of the ACM,1979
67,ACM Computing Surveys,1980
67,ACM SIGART Bulletin,1980
67,ACM SIGCSE Bulletin,1980
67,ACM SIGGRAPH Computer Graphics,1980
67,ACM SIGMETRICS Performance Evaluation Review,1980
67,ACM SIGMOD Record,1980
67,ACM SIGOPS Operating Systems Review,1980
67,ACM SIGPLAN Notices,1980
67,ACM Transactions on Programming Languages and Systems,1980
67,Journal of the ACM,1980
67,ACM Computing Surveys,1981
67,ACM SIGAPL APL Quote Quad,1981
67,ACM SIGCOMM Computer Communication Review,1981
67,ACM SIGCSE Bulletin,1981
67,ACM SIGGRAPH Computer Graphics,1981
67,ACM SIGMETRICS Performance Evaluation Review,1981
67,ACM SIGOA Newsletter,1981
67,ACM SIGOPS Operating Systems Review,1981
67,ACM SIGPLAN Notices,1981
67,ACM SIGSMALL Newsletter,1981
67,ACM SIGSOC Bulletin,1981
67,ACM Transactions on Mathematical Software,1981
67,ACM Transactions on Programming Languages and Systems,1981
67,Communications of the ACM,1981
67,ACM Computing Surveys,1982
67,ACM SIGAPL APL Quote Quad,1982
67,ACM SIGARCH Computer Architecture News,1982
67,ACM SIGCSE Bulletin,1982
67,ACM SIGGRAPH Computer Graphics,1982
67,ACM SIGMETRICS Performance Evaluation Review,1982
67,ACM SIGOA Newsletter,1982
67,ACM SIGPLAN Notices,1982
67,ACM Transactions on Mathematical Software,1982
67,ACM Transactions on Programming Languages and Systems,1982
67,Communications of the ACM,1982
67,ACM Computing Surveys,1983
67,ACM SIGAPL APL Quote Quad,1983
67,ACM SIGCOMM Computer Communication Review,1983
67,ACM SIGCSE Bulletin,1983
67,ACM SIGOPS Operating Systems Review,1983
67,ACM SIGPLAN Notices,1983
67,ACM SIGSOFT Software Engineering Notes,1983
67,ACM Transactions on Computer Systems,1983
67,ACM Transactions on Programming Languages and Systems,1983
67,Communications of the ACM,1983
67,ACM SIGAPL APL Quote Quad,1984
67,ACM SIGARCH Computer Architecture News,1984
67,ACM SIGCOMM Computer Communication Review,1984
67,ACM SIGCSE Bulletin,1984
67,ACM SIGMICRO Newsletter,1984
67,ACM SIGPLAN Notices,1984
67,ACM SIGSOFT Software Engineering Notes,1984
67,ACM Transactions on Mathematical Software,1984
67,ACM Transactions on Programming Languages and Systems,1984
67,Communications of the ACM,1984
67,Journal of the ACM,1984
67,ACM Computing Surveys,1985
67,ACM SIGAPL APL Quote Quad,1985
67,ACM SIGARCH Computer Architecture News,1985
67,ACM SIGAda Ada Letters,1985
67,ACM SIGCSE Bulletin,1985
67,ACM SIGMICRO Newsletter,1985
67,ACM SIGOPS Operating Systems Review,1985
67,ACM SIGPLAN Notices,1985
67,ACM Transactions on Programming Languages and Systems,1985
67,Communications of the ACM,1985
67,ACM Computing Surveys,1986
67,ACM SIGAPL APL Quote Quad,1986
67,ACM SIGARCH Computer Architecture News,1986
67,ACM SIGAda Ada Letters,1986
67,ACM SIGCHI Bulletin,1986
67,ACM SIGCSE Bulletin,1986
67,ACM SIGMICRO Newsletter,1986
67,ACM SIGPLAN Notices,1986
67,ACM SIGSMALL/PC Notes,1986
67,ACM Transactions on Mathematical Software,1986
67,ACM Transactions on Programming Languages and Systems,1986
67,Communications of the ACM,1986
67,ACM SIGAPL APL Quote Quad,1987
67,ACM SIGARCH Computer Architecture News,1987
67,ACM SIGAda Ada Letters,1987
67,ACM SIGCSE Bulletin,1987
67,ACM SIGMOD Record,1987
67,ACM SIGOPS Operating Systems Review,1987
67,ACM SIGPLAN Fortran Forum,1987
67,ACM SIGPLAN Notices,1987
67,ACM SIGSAM Bulletin,1987
67,ACM SIGSMALL/PC Notes,1987
67,ACM Transactions on Programming Languages and Systems,1987
67,Communications of the ACM,1987
67,ACM SIGARCH Computer Architecture News,1988
67,ACM SIGAda Ada Letters,1988
67,ACM SIGCHI Bulletin,1988
67,ACM SIGCOMM Computer Communication Review,1988
67,ACM SIGCSE Bulletin,1988
67,ACM SIGOPS Operating Systems Review,1988
67,ACM SIGPLAN Fortran Forum,1988
67,ACM SIGPLAN Notices,1988
67,ACM SIGSOFT Software Engineering Notes,1988
67,ACM Transactions on Computer Systems,1988
67,ACM Transactions on Programming Languages and Systems,1988
67,Communications of the ACM,1988
67,Journal of the ACM,1988
67,ACM SIGAPL APL Quote Quad,1989
67,ACM SIGARCH Computer Architecture News,1989
67,ACM SIGAda Ada Letters,1989
67,ACM SIGCSE Bulletin,1989
67,ACM SIGFORTH Newsletter,1989
67,ACM SIGGRAPH Computer Graphics,1989
67,ACM SIGMICRO Newsletter,1989
67,ACM SIGOPS Operating Systems Review,1989
67,ACM SIGPLAN Notices,1989
67,ACM SIGSOFT Software Engineering Notes,1989
67,ACM Transactions on Programming Languages and Systems,1989
67,ACM SIGAPL APL Quote Quad,1990
67,ACM SIGARCH Computer Architecture News,1990
67,ACM SIGAda Ada Letters,1990
67,ACM SIGCHI Bulletin,1990
67,ACM SIGCSE Bulletin,1990
67,ACM SIGDOC Asterisk Journal of Computer Documentation,1990
67,ACM SIGMOD Record,1990
67,ACM SIGOPS Operating Systems Review,1990
67,ACM SIGPLAN Notices,1990
67,ACM SIGSMALL/PC Notes,1990
67,ACM SIGSOFT Software Engineering Notes,1990
67,Communications of the ACM,1990
67,ACM SIGAPL APL Quote Quad,1991
67,ACM SIGARCH Computer Architecture News,1991
67,ACM SIGAda Ada Letters,1991
67,ACM SIGCSE Bulletin,1991
67,ACM SIGFORTH Newsletter,1991
67,ACM SIGOPS Operating Systems Review,1991
67,ACM SIGPLAN Notices,1991
67,ACM SIGSIM Simulation Digest,1991
67,ACM SIGSOFT Software Engineering Notes,1991
67,ACM Transactions on Programming Languages and Systems,1991
67,ACM SIGAda Ada Letters,1992
67,ACM SIGCSE Bulletin,1992
67,ACM SIGGRAPH Computer Graphics,1992
67,ACM SIGOPS Operating Systems Review,1992
67,ACM SIGPLAN Fortran Forum,1992
67,ACM SIGPLAN Notices,1992
67,ACM SIGSOFT Software Engineering Notes,1992
67,ACM Transactions on Programming Languages and Systems,1992
67,Communications of the ACM,1992
67,ACM SIGAPP Applied Computing Review,1993
67,ACM SIGAda Ada Letters,1993
67,ACM SIGCSE Bulletin,1993
67,ACM SIGOIS Bulletin,1993
67,ACM SIGPLAN Notices,1993
67,ACM SIGSOFT Software Engineering Notes,1993
67,ACM Transactions on Software Engineering and Methodology,1993
67,Communications of the ACM,1993
67,ACM SIGAPL APL Quote Quad,1994
67,ACM SIGAda Ada Letters,1994
67,ACM SIGCSE Bulletin,1994
67,ACM SIGOPS Operating Systems Review,1994
67,ACM SIGPLAN Fortran Forum,1994
67,ACM SIGPLAN Notices,1994
67,ACM SIGSOFT Software Engineering Notes,1994
67,ACM Computing Surveys,1995
67,ACM SIGAPL APL Quote Quad,1995
67,ACM SIGARCH Computer Architecture News,1995
67,ACM SIGAda Ada Letters,1995
67,ACM SIGCSE Bulletin,1995
67,ACM SIGNUM Newsletter,1995
67,ACM SIGOPS Operating Systems Review,1995
67,ACM SIGPLAN Notices,1995
67,ACM Transactions on Programming Languages and Systems,1995
67,Communications of the ACM,1995
67,StandardView,1995
67,ACM SIGAPL APL Quote Quad,1996
67,ACM SIGCSE Bulletin,1996
67,ACM SIGDOC Asterisk Journal of Computer Documentation,1996
67,ACM SIGPLAN Fortran Forum,1996
67,ACM SIGPLAN Notices,1996
67,ACM SIGSOFT Software Engineering Notes,1996
67,ACM SIGAda Ada Letters,1997
67,ACM SIGCSE Bulletin,1997
67,ACM SIGPLAN Notices,1997
67,ACM SIGSOFT Software Engineering Notes,1997
67,ACM Transactions on Software Engineering and Methodology,1997
67,Communications of the ACM,1997
67,ACM SIGAda Ada Letters,1998
67,ACM SIGCSE Bulletin,1998
67,ACM SIGPLAN Notices,1998
67,Communications of the ACM,1998
67,ACM SIGAda Ada Letters,1999
67,ACM SIGPLAN Notices,1999
67,ACM SIGAPL APL Quote Quad,2000
67,ACM SIGAda Ada Letters,2000
67,ACM SIGPLAN Fortran Forum,2000
67,Crossroads,2000
67,ACM SIGAPL APL Quote Quad,2001
67,ACM SIGPLAN Fortran Forum,2001
67,ACM SIGPLAN Notices,2001
67,ACM SIGSOFT Software Engineering Notes,2001
67,Crossroads,2001
67,ACM SIGAda Ada Letters,2002
67,ACM SIGOPS Operating Systems Review,2002
67,ACM SIGPLAN Notices,2002
67,ACM Transactions on Mathematical Software,2002
67,Journal of Educational Resources in Computing,2002
67,ACM SIGARCH Computer Architecture News,2003
67,ACM SIGAda Ada Letters,2003
67,ACM SIGCSE Bulletin,2003
67,ACM SIGPLAN Notices,2003
67,Queue,2003
67,netWorker,2003
67,ACM SIGAda Ada Letters,2004
67,ACM SIGCSE Bulletin,2004
67,ACM SIGPLAN Notices,2004
67,ACM Transactions on Programming Languages and Systems,2004
67,Computers in Entertainment,2004
67,Queue,2004
67,ACM SIGAda Ada Letters,2005
67,ACM SIGCSE Bulletin,2005
67,ACM SIGPLAN Notices,2005
67,ACM SIGSOFT Software Engineering Notes,2005
67,ACM Transactions on Programming Languages and Systems,2005
67,ACM Transactions on Software Engineering and Methodology,2005
67,Communications of the ACM,2005
67,ACM SIGAda Ada Letters,2006
67,ACM SIGPLAN Notices,2006
67,Communications of the ACM,2006
67,Crossroads,2006
67,ACM SIGAda Ada Letters,2007
67,ACM SIGMETRICS Performance Evaluation Review,2007
67,ACM SIGAda Ada Letters,2008
67,ACM SIGCSE Bulletin,2008
67,ACM SIGPLAN Notices,2008
67,ACM SIGAda Ada Letters,2009
67,Communications of the ACM,2009
67,Queue,2009
67,netWorker,2009
67,ACM SIGCSE Bulletin,2010
67,ACM SIGOPS Operating Systems Review,2010
67,Communications of the ACM,2010
67,ACM Computing Surveys,2011
67,ACM SIGOPS Operating Systems Review,2011
70,ACM SIGCOMM Computer Communication Review,0
70,ACM SIGOPS Operating Systems Review,1975
70,ACM SIGARCH Computer Architecture News,1977
70,Communications of the ACM,1978
70,Journal of the ACM,1980
70,ACM Computing Surveys,1981
70,ACM SIGCOMM Computer Communication Review,1981
70,ACM SIGMETRICS Performance Evaluation Review,1981
70,ACM SIGMETRICS Performance Evaluation Review,1982
70,Communications of the ACM,1982
70,Journal of the ACM,1982
70,ACM SIGCOMM Computer Communication Review,1983
70,Communications of the ACM,1983
70,Journal of the ACM,1983
70,ACM Computing Surveys,1984
70,ACM SIGCOMM Computer Communication Review,1984
70,ACM SIGMETRICS Performance Evaluation Review,1984
70,ACM Transactions on Computer Systems,1984
70,ACM SIGARCH Computer Architecture News,1985
70,ACM SIGCOMM Computer Communication Review,1985
70,ACM SIGCSE Bulletin,1985
70,ACM SIGMETRICS Performance Evaluation Review,1985
70,ACM SIGARCH Computer Architecture News,1986
