topicid,item,counts
,haptic feedback,900
169,parallel simulation,2200
,distributed simulation,1800
,time warp,1300
,parallel discrete event simulation,800
,parallel simulations,800
,discrete event simulation,534
,simulation large,500
,event simulation,400
,discrete event,360
,parallel distributed,312
170,simulation modeling,2000
,simulation language,1000
,discrete event simulation,925
,modeling simulation,864
,simulation languages,800
,discrete simulation,700
,simulation system,700
,model development,600
,simulation model,599
,simulation,536
171,supply voltage,1354
,leakage power,960
,current,711
,interconnect,704
,cmos technology,700
,gate sizing,600
,power grid,600
,transistor level,600
,voltage,537
,noise,522
172,proving correctness,800
,formal semantics,563
,theorem prover,500
,temporal logic,410
,algebraic specifications,400
,loop invariants,400
,predicate calculus,400
,theorem proving,373
,formal specification,307
,specification verification,306
173,fuzzy logic,3800
,fuzzy inference,900
,knowledge capture,800
,fuzzy,784
,legal,637
,belief network,600
,inference engine,600
,knowledge base,581
,case based,500
,reasoning cbr,500
174,software quality,2100
,software metrics,1400
,empirical study,900
,complexity measures,700
,metrics,559
,complexity metrics,500
,quality assessment,500
,quality metrics,500
,empirical studies,483
,software engineering,448
175,publish subscribe,10100
,stream processing,3000
,event processing,2019
,event based,1800
,publish subscribe systems,1500
,data stream,1000
,event streams,900
,publish subscribe system,800
,event stream,700
,stream,661
176,network chip,1300
,chip communication,900
,network chip noc,900
,chip noc,800
,system chip,730
,chip networks,700
,chip soc,700
,communication architecture,700
,noc,677
,chip network,600
177,object oriented,56600
,object oriented programming,6037
,object oriented design,3300
,object orientation,2500
,object,2031
,oriented programming,1780
,oriented paradigm,1700
,object oriented paradigm,1600
,object oriented language,1500
,object oriented software,1400
178,floating point,2440
,fixed point,800
,adjusting computation,500
,arithmetic operations,400
,change propagation,400
,floating point arithmetic,400
,floating,312
,elementary functions,300
,error bounds,300
,gather intersection,300
179,object oriented,2941
,xml data,1803
,xml documents,1778
,oriented database,1100
,xml,911
,xml schema,888
,xml databases,800
,query language,737
,temporal databases,700
,xml database,700
180,shortest path,2289
,shortest paths,1500
,spanning trees,1100
,graph based,1000
,spanning tree,791
,directed graph,750
,edges graph,700
,graph algorithms,700
,graph nodes,700
,flow graph,671
181,model checking,8061
,timed automata,1400
,formal verification,1299
,formal model,1200
,model checker,938
,state explosion,900
,state machines,857
,validation verification,800
,finite state,702
,formal analysis,700
182,news stories,2300
,event detection,1200
,news articles,916
,news,760
,spatial reader,600
,entity detection,500
,news story,500
,news streams,500
,spatio temporal,404
,bursty features,400
183,ddos attacks,1400
,intrusion detection,1132
,dos attacks,750
,data communication,600
,network intrusion detection,600
,pattern matching,529
,data communications,500
,denial service,500
,denial service ddos attacks,400
,network security,356
184,real time,2269
,real time systems,2200
,embedded systems,1482
,embedded software,1394
,hard real time,1000
,hardware software partitioning,900
,timing constraints,900
,real time scheduling,800
,real time system,700
,time scheduling,700
185,interprocess communication,1100
,deadlock detection,900
,distributed operating,600
,distributed operating system,600
,remote procedure,600
,cloud computing,528
,distributed processing,500
,mapreduce jobs,500
,mapreduce,443
,distributed systems,428
186,gene expression,1917
,sequence alignment,1400
,amino acid,1300
,molecular biology,1300
,protein folding,1200
,dna sequences,1100
,protein protein,1000
,protein sequences,1000
,mass spectrometry,900
,protein,882
187,record linkage,1000
,duplicate detection,900
,question answering,543
,similarity search,514
,entity resolution,500
,inverted index,500
,text index,500
,index structure,400
,keyword search,400
,problem propose,400
189,time sharing,1100
,queueing networks,1000
,product form,600
,queueing model,600
,response time,501
,queueing network,500
,queueing,475
,system performance,444
,operating system,433
,performance analysis,413
190,multi agent,2124
,mobile agents,1700
,artificial intelligence,1513
,autonomous agents,1000
,agent based,908
,mobile agent,612
,agent oriented,600
,tuple spaces,600
,agent,590
,agent systems,542
191,privacy policy,1500
,privacy policies,1300
,digital forensics,1000
,law enforcement,1000
,privacy preferences,1000
,privacy security,900
,privacy concerns,752
,inside risks,700
,privacy issues,700
,privacy,631
192,process variation,1700
,process variations,1000
,variation aware,800
,monte carlo,790
,variations,676
,power analysis,600
,variation,523
,parameter variations,500
,statistical timing analysis,500
,leakage power,452
193,mediated communication,592
,group meetings,500
,group work,500
,meeting room,500
,cooperative work,421
,based collaborative,400
,collaboration support,400
,collaborative systems,400
,group editors,400
,groupware systems,400
194,data mining,12993
,mining,3279
,association rules,2500
,pattern mining,2200
,association rule mining,1800
,knowledge discovery,1700
,mining algorithms,1400
,rule mining,1300
,outlier detection,1100
,data data,1000
195,attribute grammars,2500
,attribute grammar,1400
,regular expression,1300
,syntax directed,1000
,context free grammars,900
,grammar,793
,grammars,781
,context free,700
,context free grammar,700
,free grammar,700
196,xml documents,1258
,text editing,1200
,word processing,800
,text editor,700
,text editors,700
,text processing,700
,xml document,630
,markup language,600
,spelling correction,600
,structured documents,600
197,government agencies,1700
,government,1443
,digital government,1100
,public policy,1100
,public sector,800
,socio economic,800
,federal government,700
,south african,700
,united states,683
,digital divide,600
198,clone detection,2900
,device drivers,1800
,device driver,900
,operating systems,624
,control theory,500
,plagiarism detection,500
,clone management,400
,code clones,400
,collateral evolutions,400
,driver code,400
199,recommender systems,7600
,collaborative filtering,7300
,recommender system,3300
,recommender,1119
,recommendation systems,1100
,user preferences,1020
,recommendation system,1000
,recommendation,965
,cold start,900
,personalized recommendations,900
200,digital rights,1400
,intellectual property,1200
,copyright protection,1000
,digital watermarking,900
,shoulder surfing,900
,watermarking scheme,800
,rights expression,700
,watermarking,642
,digital rights management,600
,confidentiality integrity,500
201,access control,15224
,access control policies,3100
,role based access control,1900
,control policies,1800
,access control model,1100
,access control policy,1100
,security requirements,1000
,security policy,930
,security policies,858
,access control rbac,800
202,transactional memory,3500
,lock based,1000
,transactional,735
,software transactional memory,700
,programming models,600
,software transactional,600
,memory models,500
,relaxed memory,500
,transactional memory stm,500
,parallel programming,430
203,steiner tree,1300
,multicommodity flow,1000
,primal dual,1000
,approximation algorithm,959
,facility location,900
,approximation scheme,800
,approximation schemes,800
,approximation algorithms,753
,approximation ratio,702
,stable marriage,700
204,sensitive hashing,800
,nearest neighbors,700
,ground truth,600
,gender classification,500
,iris recognition,500
,pattern recognition,500
,sensitive hashing lsh,500
,nearest neighbor,473
,feature vectors,400
,locality sensitive hashing lsh,400
205,garbage collection,13500
,garbage collector,5300
,memory management,3828
,garbage,1376
,garbage collectors,900
,memory allocation,900
,garbage collected,800
,reference counting,800
,collector,621
,heap allocation,600
206,analytical model,700
,markov model,600
,markov models,600
,model model,600
,modeling analysis,500
,modeling approach,500
,modeling evaluation,400
,molecular dynamics,400
,parameters model,400
,predictive modeling,400
207,human computation,900
,editorial message,400
,data mining,317
,collected data,300
,current future,300
,elicit data,300
,previous work,300
,wide range,300
,recent years,256
,special track,253
208,massively parallel,1800
,parallel processing,1368
,parallel algorithms,1200
,parallel computer,1100
,parallel computers,1100
,number processors,900
,parallel machines,900
,deadlock free,800
,interprocessor communication,700
,parallel processor,600
209,shared memory,3571
,cache coherence,2300
,memory consistency,1400
,coherence protocol,1100
,shared memory multiprocessors,1100
,distributed shared memory,900
,memory multiprocessor,900
,memory multiprocessors,800
,coherence protocols,700
,false sharing,700
210,levels detail,800
,level detail,500
,surface simplification,400
,contingent multi,300
,transmission conventional stereoscopic,300
,visual quality,300
,high resolution,270
,data structure,253
,simplification,253
,detail,209
211,operating systems,2387
,operating system,2036
,unix operating,1100
,network interface,700
,system calls,700
,linux kernel,542
,linux operating,400
,microsoft windows,400
,operating system kernel,400
,operating system support,400
212,software architecture,6523
,software architectures,1500
,architectural,1188
,architectural description,1000
,architectural design,1000
,design decisions,1000
,architectural style,800
,architectural knowledge,600
,architectural views,600
,architecture description,600
213,search engine,1085
,web search,1005
,online advertising,1000
,search engines,864
,exploratory search,800
,web usage,800
,search results,702
,contextual advertising,700
,information seeking,700
,search strategies,700
214,hoc networks,3299
,mobile hoc,1806
,sensor networks,1540
,mobile hoc networks,1444
,hoc,1236
,routing protocols,1207
,wireless hoc,1200
,routing protocol,1125
,communication networks,1000
,hoc network,916
215,del icio,2200
,tag clouds,1900
,social tagging,1800
,tags,1363
,tag recommendation,1300
,social annotations,1200
,social bookmarking,1200
,tag,1143
,social tags,1100
,tagging systems,1000
216,music,2463
,music genre,1300
,music player,1000
,sound,877
,audio signal,800
,based music,800
,music composition,800
,musical instruments,800
,musical,701
,musical instrument,700
217,photo sharing,2100
,digital photos,1000
,photo collections,900
,photo album,700
,photo,629
,photos,566
,personal media,400
,personal photos,400
,photo management,400
,mobile devices,340
218,social network,13433
,social networks,12010
,social media,2688
,social networking,1692
,social network analysis,1400
,online social networks,1300
,online social,1200
,network analysis,1100
,social interactions,700
,social networking sites,700
219,cloud computing,7748
,grid computing,4200
,grid,1907
,cloud,1604
,computing resources,1200
,pcloud computing,1200
,grid applications,1000
,grid resources,900
,grid services,900
,resource,896
220,annotated bibliography,1900
,http www,1900
,sigact news,1400
,international workshop,1369
,acm,1024
,day day,1000
,conference,928
,acm shut,900
,past years,900
,computer science,880
221,training program,600
,system development,500
,systems design,500
,systems development,500
,systems developed,400
,training programs,400
,user services,309
,training,290
,project management,280
,computer center,263
222,multi agent,1911
,planning,653
,agent,519
,agents,431
,agent architecture,400
,bdi agent,400
,multi robot,400
,multiagent system,400
,bdi agents,300
,tasks agents,300
223,debugging,1338
,fault localization,1300
,execution traces,1000
,debugging tools,800
,level debugging,800
,program behavior,800
,interactive debugging,700
,program traces,700
,debugging techniques,600
,dynamic program,600
224,flash memory,2900
,nand flash,1400
,flash,1007
,data centers,1000
,based storage,800
,page replacement,700
,data center,687
,energy efficiency,661
,storage device,600
,memory management,547
225,data governance,600
,data quality,600
,return investment,500
,quality management,400
,system administrators,400
,improve quality,300
,service quality,300
,customer service,266
,customer satisfaction,204
,information systems,193
226,object oriented,2367
,language constructs,800
,type system,776
,oriented programming,593
,object oriented programming,587
,extension java,500
,featherweight java,500
,language extension,500
,multiple inheritance,500
,predicate dispatch,500
227,wait free,1400
,byzantine agreement,600
,italicn italic,563
,consensus,415
,shared memory,325
,mutual exclusion,324
,asynchronous,316
,asynchronous shared memory,300
,coordinated consensus,300
,agreement,270
228,mobile devices,9663
,context aware,5529
,mobile device,5246
,ubiquitous computing,4510
,mobile computing,4100
,mobile phones,3716
,mobile applications,3400
,pervasive computing,3400
,context awareness,2200
,mobile users,2000
229,augmented reality,9093
,virtual reality,6043
,virtual environments,4599
,virtual environment,2332
,real virtual,1300
,virtual worlds,1300
,mixed reality,1261
,reality,1066
,virtual objects,1000
,virtual space,800
230,present design,700
,mobile devices,486
,interaction design,396
,mobile phones,367
,design space,312
,design evaluation,306
,design process,268
,technologies,264
,social networking,235
,location based,221
231,adaptive hypermedia,700
,hypermedia systems,700
,spatial hypertext,600
,hypermedia,472
,web applications,455
,hypermedia applications,400
,hypermedia structures,400
,open hypermedia,400
,hypertext,369
,web application,315
232,data integration,2300
,data sources,1731
,query answering,1200
,schema matching,1200
,conjunctive queries,700
,semantic heterogeneity,700
,integration,632
,data exchange,600
,data source,600
,schema mapping,600
233,genetic algorithm,3958
,ant colony,2100
,particle swarm optimization,2100
,multi objective,1900
,genetic algorithms,1850
,local search,1700
,ant colony optimization,1500
,particle swarm,1500
,evolutionary algorithm,1477
,pareto front,1300
234,web accessibility,3400
,web browsing,1500
,accessibility,1130
,web pages,1026
,screen readers,1000
,web page,913
,screen reader,800
,visually impaired,800
,web content,624
,web site,573
235,instruction queue,800
,issue queue,800
,performance degradation,600
,instruction window,500
,load store,500
,processor performance,400
,register renaming,400
,single thread,400
,study shows,400
,performance improvement,333
236,electronic mail,2500
,email messages,700
,email,457
,mail,408
,communication system,400
,web browser,348
,email clients,300
,mail mail,300
,mash maker,300
,spam filtering,300
238,cognitive radio,2500
,physical layer,1700
,multi channel,1500
,channel assignment,1300
,channel,1078
,cross layer,1000
,interference,984
,channel access,800
,channel allocation,800
,multi hop,800
239,speech recognition,979
,multimodal interface,800
,cognitive load,600
,multimodal,563
,speech,507
,multimodal input,500
,multimodal interaction,487
,multimodal interfaces,487
,children asd,400
,children autism,400
240,multi agent,3291
,agent based,2170
,coalition formation,1400
,agent,991
,agents,912
,multi agent system,849
,intelligent agents,800
,agent system,702
,multi agent systems,699
,agent agent,600
241,group members,600
,collaborative web,400
,creativity support,400
,group awareness,400
,paper reports,400
,information sharing,333
,social networks,316
,video conferencing,300
,team members,208
,collaborative work,200
242,agnostic learning,600
,learning algorithm,556
,line learning,500
,reinforcement learning,445
,learning theory,400
,markov decision,400
,italick italic,376
,machine learning,359
,algorithm learning,300
,algorithm solves,300
243,branch prediction,2800
,branch predictor,1600
,branch predictors,1100
,branch,812
,prediction accuracy,700
,conditional branch,600
,instruction fetch,600
,instruction stream,600
,code cache,500
,basic block,400
244,expert system,6000
,expert systems,4608
,artificial intelligence,2986
,rule based,2200
,knowledge based,2081
,expert,1630
,knowledge base,1598
,knowledge acquisition,1500
,knowledge representation,753
,knowledge based system,600
245,computing center,1083
,academic computing,700
,user services,617
,academic institutions,600
,computing centers,600
,computer center,421
,computer science,421
,computer education,400
,amp bull,399
,center began,300
246,italicn italic,15009
,subscrpt italic,10700
,italicsubscrpt subscrpt,8600
,italic italic,7847
,italick italic,7396
,italic,7054
,italics italic,6600
,italic subscrpt,6300
,italicp italic,5691
,italicx italic,5100
247,ken wilson,500
,benchmark suite,300
,call center,300
,living lab,300
,media data,300
,periodic broadcast,300
,server performance,300
,system called,300
,system resources,300
,benchmark,212
248,simulation approach,400
,simulation model,364
,based model,300
,model predict,300
,model simulation,300
,simulation study,300
,time simulation,300
,modeling simulation,288
,computer simulation,252
,simulation program,250
249,data management,1188
,data base,1187
,data base management,1000
,database research,900
,database management systems,700
,event processing,586
,database management,540
,rfid data,400
,database systems,371
,data bases,352
