"|","item","counts"
"","cache oblivious","1300.0"
"","equation inline equation","1300.0"
"","inline equation inline equation","1100.0"
"","inline inline equation","1000.0"
"","inline equation inline","700.0"
"114","web applications","5405.0"
"","client side","2600.0"
"","web application","2204.0"
"","server side","2100.0"
"","web services","1871.0"
"","web browser","1480.0"
"","web service","1149.0"
"","service oriented","974.0"
"","web technologies","900.0"
"","cross site scripting","800.0"
"115","data compression","3300.0"
"","code compression","2100.0"
"","error correction","1600.0"
"","compression decompression","1400.0"
"","compression ratio","1300.0"
"","correcting codes","1300.0"
"","compression scheme","1200.0"
"","lossless compression","1100.0"
"","coding scheme","1000.0"
"","compression","962.0"
"116","qos guarantees","900.0"
"","admission control","800.0"
"","service qos","601.0"
"","qos","558.0"
"","adaptive routing","500.0"
"","network calculus","500.0"
"","network delay","500.0"
"","packet scheduling","500.0"
"","qos requirements","500.0"
"","round robin","500.0"
"117","planar graphs","1300.0"
"","graph coloring","702.0"
"","random walks","700.0"
"","tree width","700.0"
"","problem finding","500.0"
"","verbar verbar","500.0"
"","graphs","472.0"
"","bounded treewidth","400.0"
"","chromatic number","400.0"
"","graphs graphs","400.0"
"118","participatory design","2800.0"
"","usability evaluation","1360.0"
"","centered design","1300.0"
"","design guidelines","1200.0"
"","design process","1125.0"
"","usability problems","1100.0"
"","usability testing","1100.0"
"","user centered design","1000.0"
"","usability","937.0"
"","interaction hci","900.0"
"119","data collection","400.0"
"","paper introduces","400.0"
"","proposed model","400.0"
"","learning based","300.0"
"","system enables","300.0"
"","user friendly","300.0"
"","linked data","252.0"
"","peer peer","250.0"
"","fine grained","139.0"
"","provide","91.0"
"120","neural network","6482.0"
"","neural networks","4100.0"
"","reinforcement learning","2734.0"
"","machine learning","1517.0"
"","artificial neural","1300.0"
"","neural","1077.0"
"","artificial neural networks","900.0"
"","classifier systems","600.0"
"","learning approach","600.0"
"","learning classifier","600.0"
"121","machine learning","4072.0"
"","feature selection","3000.0"
"","supervised learning","3000.0"
"","active learning","2405.0"
"","semi supervised","2400.0"
"","classification","1800.0"
"","support vector machines","1500.0"
"","text classification","1500.0"
"","vector machines","1500.0"
"","classification accuracy","1374.0"
"122","virtual machine","1356.0"
"","jit compiler","900.0"
"","dynamic code","800.0"
"","dynamic compilation","800.0"
"","native code","800.0"
"","calling context","700.0"
"","java compiler","700.0"
"","java bytecode","642.0"
"","compilation","561.0"
"","java","510.0"
"123","suffix tree","2800.0"
"","pattern matching","1917.0"
"","data structure","1350.0"
"","hash table","1300.0"
"","sorting algorithms","1200.0"
"","binary tree","1000.0"
"","insertion deletion","1000.0"
"","sorting algorithm","900.0"
"","suffix trees","900.0"
"","italicn italic","876.0"
"124","programming environment","3300.0"
"","development environment","1900.0"
"","programming environments","1000.0"
"","version control","800.0"
"","development environments","700.0"
"","development tools","600.0"
"","software development environments","600.0"
"","software environments","600.0"
"","programming tools","500.0"
"","software development environment","500.0"
"125","instant messaging","1188.0"
"","ambient displays","700.0"
"","large display","500.0"
"","sms messages","500.0"
"","mobile device","430.0"
"","mobile phone","398.0"
"","ubiquitous computing","347.0"
"","ambient display","300.0"
"","cyber surfing","300.0"
"","message notification","300.0"
"126","image retrieval","7900.0"
"","image annotation","2600.0"
"","image search","2400.0"
"","video retrieval","1800.0"
"","query image","1100.0"
"","based image retrieval","1000.0"
"","latent semantic","800.0"
"","visual features","800.0"
"","visual search","800.0"
"","annotation","774.0"
"127","network management","2000.0"
"","network monitoring","1000.0"
"","traffic analysis","900.0"
"","traffic flows","900.0"
"","network measurement","700.0"
"","network operators","700.0"
"","traffic engineering","600.0"
"","anomaly detection","578.0"
"","heavy hitters","500.0"
"","network service","500.0"
"128","sparse matrix","2100.0"
"","linear algebra","1900.0"
"","finite element","1300.0"
"","linear equations","900.0"
"","sparse matrices","900.0"
"","matrix","805.0"
"","row column","800.0"
"","singular decomposition svd","800.0"
"","matrix multiplication","709.0"
"","iterative methods","700.0"
"129","leader election","700.0"
"","distributed algorithm","500.0"
"","labeling scheme","500.0"
"","distributed algorithms","483.0"
"","fuel tank limited","400.0"
"","log rounds","400.0"
"","random walk","400.0"
"","small world","400.0"
"","shortest path","327.0"
"","distributed computation","300.0"
"130","flow analysis","3600.0"
"","pointer analysis","1200.0"
"","dependence graph","1100.0"
"","points analysis","1100.0"
"","program analysis","1022.0"
"","call graph","900.0"
"","data flow","900.0"
"","program slicing","857.0"
"","data flow analysis","800.0"
"","dataflow analysis","800.0"
"131","distance learning","2700.0"
"","distance education","1700.0"
"","collaborative learning","1500.0"
"","based learning","1300.0"
"","learning environments","1300.0"
"","learning environment","1107.0"
"","learning activities","1000.0"
"","school students","889.0"
"","educational","840.0"
"","learning","812.0"
"132","functional programming","2626.0"
"","functional programs","800.0"
"","functional reactive","700.0"
"","haskell","630.0"
"","functional languages","627.0"
"","domain specific","562.0"
"","algebraic data","500.0"
"","data type","500.0"
"","declarative programming","500.0"
"","haskell programs","400.0"
"133","point cloud","700.0"
"","surface reconstruction","600.0"
"","medial axis","500.0"
"","surface","457.0"
"","fluid","441.0"
"","implicit functions","400.0"
"","implicit surfaces","400.0"
"","marching cubes","400.0"
"","navier stokes equations","400.0"
"","fluid dynamics","312.0"
"134","streaming video","600.0"
"","streaming media","500.0"
"","video streaming","476.0"
"","capacity planning","300.0"
"","client request aggregation strategy","300.0"
"","interoperable metadata","300.0"
"","streaming server","300.0"
"","video stream","220.0"
"","based user","200.0"
"","commensurate specific","200.0"
"135","clustering","3517.0"
"","clustering algorithm","3100.0"
"","hierarchical clustering","1700.0"
"","subspace clustering","1600.0"
"","clustering algorithms","1500.0"
"","means clustering","1500.0"
"","data mining","1204.0"
"","clusters","1050.0"
"","clustering method","1000.0"
"","spectral clustering","1000.0"
"136","motion capture","2800.0"
"","facial animation","1300.0"
"","human motion","1300.0"
"","motion capture data","1100.0"
"","motion","932.0"
"","facial expressions","738.0"
"","animation","717.0"
"","human body","700.0"
"","human hand","700.0"
"","motion data","700.0"
"137","web servers","2000.0"
"","web server","1000.0"
"","based data","700.0"
"","proxy server","700.0"
"","web objects","700.0"
"","proxy caching","600.0"
"","web cache","600.0"
"","web caching","600.0"
"","web services","554.0"
"","world wide web","418.0"
"138","soft errors","2000.0"
"","soft error","1188.0"
"","fault tolerance","432.0"
"","performance paper","400.0"
"","transient errors","400.0"
"","binary instrumentation","300.0"
"","inter core","300.0"
"","memory footprint","300.0"
"","optimize data","300.0"
"","significant performance","300.0"
"139","information visualization","1600.0"
"","visual exploration","900.0"
"","visualization techniques","812.0"
"","user interface","756.0"
"","analysis visualization","700.0"
"","visual analysis","700.0"
"","human factors","608.0"
"","visual analytics","600.0"
"","user interfaces","558.0"
"","visualization","502.0"
"140","information extraction","2600.0"
"","natural language processing","1806.0"
"","natural language","1662.0"
"","named entities","1200.0"
"","precision recall","800.0"
"","extraction","654.0"
"","common sense","600.0"
"","entity recognition","600.0"
"","semantic similarity","600.0"
"","semi structured","600.0"
"141","collision detection","2800.0"
"","haptic rendering","600.0"
"","physically based","600.0"
"","rigid body","600.0"
"","hair simulation","400.0"
"","hundreds thousands","400.0"
"","collision","356.0"
"","collision avoidance","300.0"
"","computation time","300.0"
"","dynamic simulation","300.0"
"142","genetic algorithm","1250.0"
"","genetic algorithms","1091.0"
"","evolutionary algorithms","963.0"
"","global optimization","700.0"
"","simulated annealing","655.0"
"","crossover operators","600.0"
"","linear programming","562.0"
"","crossover operator","500.0"
"","find optimal","500.0"
"","optimal solutions","500.0"
"143","congestion control","2200.0"
"","tcp","1633.0"
"","round trip","1400.0"
"","transport protocol","938.0"
"","flow control","888.0"
"","congestion","829.0"
"","communication protocols","800.0"
"","rate control","700.0"
"","tcp flows","700.0"
"","transport protocols","700.0"
"144","peer peer","13850.0"
"","overlay network","2400.0"
"","peer","1814.0"
"","peer peer systems","1300.0"
"","content distribution","900.0"
"","gossip based","900.0"
"","content delivery","800.0"
"","peer systems","800.0"
"","peer peer network","700.0"
"","scale distributed","700.0"
"145","social networks","1264.0"
"","social network","1040.0"
"","online communities","667.0"
"","social networking","564.0"
"","social navigation","500.0"
"","work practices","500.0"
"","community network","400.0"
"","discuss implications","400.0"
"","ethnographic study","400.0"
"","online community","400.0"
"146","sensor networks","8182.0"
"","sensor network","7855.0"
"","sensor nodes","3493.0"
"","wireless sensor","2960.0"
"","wireless sensor networks","2738.0"
"","wireless sensor network","2019.0"
"","sensor","1936.0"
"","sensor node","1731.0"
"","wireless sensor networks wsns","1700.0"
"","sensor data","1200.0"
"147","modal logic","1000.0"
"","constraint satisfaction","916.0"
"","knowledge representation","853.0"
"","semantic web","730.0"
"","description logics","700.0"
"","temporal reasoning","700.0"
"","knowledge based","609.0"
"","description logic","600.0"
"","logic reasoning","600.0"
"","ontology based","598.0"
"148","logic synthesis","2167.0"
"","technology mapping","1800.0"
"","decision diagrams","800.0"
"","logic circuit","700.0"
"","combinational logic","500.0"
"","logic circuits","500.0"
"","asynchronous circuits","400.0"
"","boolean network","400.0"
"","don cares","400.0"
"","inputs outputs","400.0"
"149","security protocols","2200.0"
"","secret key","1900.0"
"","public key","1800.0"
"","cryptographic protocols","1700.0"
"","public key cryptography","1100.0"
"","encryption decryption","1000.0"
"","key cryptography","1000.0"
"","rfid tags","1000.0"
"","privacy preserving","931.0"
"","secret sharing","800.0"
"150","software engineering","5927.0"
"","surfing net software engineering notes","1200.0"
"","icse workshop","1000.0"
"","workshop software engineering","800.0"
"","software engineers","667.0"
"","software development","649.0"
"","engineering research","600.0"
"","international workshop","533.0"
"","international workshop software engineering","500.0"
"","reusable software","500.0"
"151","virtual environments","1360.0"
"","virtual reality","1195.0"
"","virtual environment","756.0"
"","collaborative virtual","600.0"
"","interest management","500.0"
"","oil gas","500.0"
"","virtual worlds","457.0"
"","augmented reality","455.0"
"","universal media","400.0"
"","virtual world","381.0"
"152","switching activity","1300.0"
"","power estimation","900.0"
"","fpga implementation","600.0"
"","power modeling","600.0"
"","power dissipation","556.0"
"","hardware design","468.0"
"","high level synthesis","410.0"
"","level synthesis","400.0"
"","low power","387.0"
"","power consumption","382.0"
"153","context aware","1092.0"
"","mobile devices","826.0"
"","user interfaces","704.0"
"","user interface","672.0"
"","mixed initiative","600.0"
"","conception syst mes","500.0"
"","navigation systems","500.0"
"","shopping mall","500.0"
"","user preferences","319.0"
"","multimodal interaction","270.0"
"154","amp bull","1268.0"
"","online documentation","700.0"
"","hypertext systems","500.0"
"","hypertext system","400.0"
"","digital libraries","377.0"
"","amp system","300.0"
"","hypertext hypermedia","300.0"
"","minimal manual","300.0"
"","online information","300.0"
"","rhetorical situation","300.0"
"155","dynamic range","700.0"
"","tone mapping","700.0"
"","high dynamic range","500.0"
"","projector camera","500.0"
"","high resolution","487.0"
"","camera flash","400.0"
"","projector based","400.0"
"","image processing","374.0"
"","coherence tomography","300.0"
"","structured light","300.0"
"156","static analysis","645.0"
"","finding bugs","600.0"
"","analysis tools","500.0"
"","buffer overflows","500.0"
"","lines code","500.0"
"","symbolic execution","500.0"
"","false positives","408.0"
"","analysis tool","400.0"
"","hook placement linux","400.0"
"","path sensitive","400.0"
"157","information security","3178.0"
"","intrusion detection","3074.0"
"","anomaly detection","1328.0"
"","cyber security","1100.0"
"","security issues","1100.0"
"","computer security","812.0"
"","intrusion detection systems","800.0"
"","security measures","800.0"
"","network security","748.0"
"","cyber defense","700.0"
"158","time series","8200.0"
"","euclidean distance","700.0"
"","permutation groups","700.0"
"","subsequence matching","600.0"
"","distance function","500.0"
"","dimensionality reduction","400.0"
"","euclidean space","400.0"
"","permutation group","400.0"
"","ptime series","400.0"
"","series","357.0"
"159","nash equilibrium","1901.0"
"","price anarchy","1100.0"
"","cost sharing","700.0"
"","game theoretic","687.0"
"","correlated equilibria","500.0"
"","equilibrium","433.0"
"","auction mechanism","400.0"
"","main result","400.0"
"","nash equilibria","400.0"
"","probability distribution","400.0"
"160","health care","10600.0"
"","health","1522.0"
"","medical","1276.0"
"","medical information","1200.0"
"","patient care","1200.0"
"","medical informatics","1100.0"
"","patient management","1100.0"
"","health monitoring","1000.0"
"","medical care","1000.0"
"","medical records","1000.0"
"161","coarse grained","1000.0"
"","architecture exploration","600.0"
"","cycle accurate","600.0"
"","processor architectures","600.0"
"","space exploration","600.0"
"","application specific","564.0"
"","embedded processors","500.0"
"","hardware software","300.0"
"","fpga based","252.0"
"","programmable gate","250.0"
"162","concurrent programming","1020.0"
"","actor model","600.0"
"","concurrent object","600.0"
"","coordination language","500.0"
"","language distributed","500.0"
"","oriented language","500.0"
"","object oriented","430.0"
"","message passing","420.0"
"","abstract machine","400.0"
"","bisimulation equivalence","400.0"
"163","file system","11500.0"
"","file systems","2800.0"
"","file","1782.0"
"","file server","1400.0"
"","file access","1200.0"
"","virtual machine","1009.0"
"","virtual machines","985.0"
"","storage system","812.0"
"","operating system","758.0"
"","live migration","700.0"
"164","iinf inf","2300.0"
"","inf iinf inf","800.0"
"","inf inf","750.0"
"","inf inf inf","600.0"
"","iinfii inf","500.0"
"","inf inf inf inf","500.0"
"","property testing","500.0"
"","alpha alpha","400.0"
"","iinfin inf","400.0"
"","random bits","400.0"
"165","concurrency control","2800.0"
"","transaction management","1700.0"
"","transaction processing","1400.0"
"","distributed database","1200.0"
"","transaction","1020.0"
"","database applications","700.0"
"","data items","500.0"
"","nested transactions","500.0"
"","database management","432.0"
"","database systems","417.0"
"166","code generation","964.0"
"","instruction sets","700.0"
"","code generator","600.0"
"","bit slice","500.0"
"","machine instruction","500.0"
"","echo instructions","400.0"
"","higher level","400.0"
"","special purpose","400.0"
"","instruction set","306.0"
"","code size","302.0"
"167","computer generated","500.0"
"","brush strokes","400.0"
"","image space","400.0"
"","photorealistic rendering","400.0"
"","artistic style","300.0"
"","color scales","300.0"
"","dispersed dot","300.0"
"","line drawings","300.0"
"","oriental brushwork","300.0"
"","red color","300.0"
"168","eye movement","3700.0"
"","eye tracking","3630.0"
"","eye movements","3200.0"
"","visually impaired","2276.0"
"","eye gaze","2000.0"
"","eye tracker","1800.0"
"","text entry","1300.0"
"","fitts law","1200.0"
"","eye","1171.0"
"","haptic feedback","900.0"
"169","parallel simulation","2200.0"
"","distributed simulation","1800.0"
"","time warp","1300.0"
"","parallel discrete event simulation","800.0"
"","parallel simulations","800.0"
"","discrete event simulation","534.0"
"","simulation large","500.0"
"","event simulation","400.0"
"","discrete event","360.0"
"","parallel distributed","312.0"
"170","simulation modeling","2000.0"
"","simulation language","1000.0"
"","discrete event simulation","925.0"
"","modeling simulation","864.0"
"","simulation languages","800.0"
"","discrete simulation","700.0"
"","simulation system","700.0"
"","model development","600.0"
"","simulation model","599.0"
"","simulation","536.0"
"171","supply voltage","1354.0"
"","leakage power","960.0"
"","current","711.0"
"","interconnect","704.0"
"","cmos technology","700.0"
"","gate sizing","600.0"
"","power grid","600.0"
"","transistor level","600.0"
"","voltage","537.0"
"","noise","522.0"
"172","proving correctness","800.0"
"","formal semantics","563.0"
"","theorem prover","500.0"
"","temporal logic","410.0"
"","algebraic specifications","400.0"
"","loop invariants","400.0"
"","predicate calculus","400.0"
"","theorem proving","373.0"
"","formal specification","307.0"
"","specification verification","306.0"
"173","fuzzy logic","3800.0"
"","fuzzy inference","900.0"
"","knowledge capture","800.0"
"","fuzzy","784.0"
"","legal","637.0"
"","belief network","600.0"
"","inference engine","600.0"
"","knowledge base","581.0"
"","case based","500.0"
"","reasoning cbr","500.0"
"174","software quality","2100.0"
"","software metrics","1400.0"
"","empirical study","900.0"
"","complexity measures","700.0"
"","metrics","559.0"
"","complexity metrics","500.0"
"","quality assessment","500.0"
"","quality metrics","500.0"
"","empirical studies","483.0"
"","software engineering","448.0"
"175","publish subscribe","10100.0"
"","stream processing","3000.0"
"","event processing","2019.0"
"","event based","1800.0"
"","publish subscribe systems","1500.0"
"","data stream","1000.0"
"","event streams","900.0"
"","publish subscribe system","800.0"
"","event stream","700.0"
"","stream","661.0"
"176","network chip","1300.0"
"","chip communication","900.0"
"","network chip noc","900.0"
"","chip noc","800.0"
"","system chip","730.0"
"","chip networks","700.0"
"","chip soc","700.0"
"","communication architecture","700.0"
"","noc","677.0"
"","chip network","600.0"
"177","object oriented","56600.0"
"","object oriented programming","6037.0"
"","object oriented design","3300.0"
"","object orientation","2500.0"
"","object","2031.0"
"","oriented programming","1780.0"
"","oriented paradigm","1700.0"
"","object oriented paradigm","1600.0"
"","object oriented language","1500.0"
"","object oriented software","1400.0"
"178","floating point","2440.0"
"","fixed point","800.0"
"","adjusting computation","500.0"
"","arithmetic operations","400.0"
"","change propagation","400.0"
"","floating point arithmetic","400.0"
"","floating","312.0"
"","elementary functions","300.0"
"","error bounds","300.0"
"","gather intersection","300.0"
"179","object oriented","2941.0"
"","xml data","1803.0"
"","xml documents","1778.0"
"","oriented database","1100.0"
"","xml","911.0"
"","xml schema","888.0"
"","xml databases","800.0"
"","query language","737.0"
"","temporal databases","700.0"
"","xml database","700.0"
"180","shortest path","2289.0"
"","shortest paths","1500.0"
"","spanning trees","1100.0"
"","graph based","1000.0"
"","spanning tree","791.0"
"","directed graph","750.0"
"","edges graph","700.0"
"","graph algorithms","700.0"
"","graph nodes","700.0"
"","flow graph","671.0"
"181","model checking","8061.0"
"","timed automata","1400.0"
"","formal verification","1299.0"
"","formal model","1200.0"
"","model checker","938.0"
"","state explosion","900.0"
"","state machines","857.0"
"","validation verification","800.0"
"","finite state","702.0"
"","formal analysis","700.0"
"182","news stories","2300.0"
"","event detection","1200.0"
"","news articles","916.0"
"","news","760.0"
"","spatial reader","600.0"
"","entity detection","500.0"
"","news story","500.0"
"","news streams","500.0"
"","spatio temporal","404.0"
"","bursty features","400.0"
"183","ddos attacks","1400.0"
"","intrusion detection","1132.0"
"","dos attacks","750.0"
"","data communication","600.0"
"","network intrusion detection","600.0"
"","pattern matching","529.0"
"","data communications","500.0"
"","denial service","500.0"
"","denial service ddos attacks","400.0"
"","network security","356.0"
"184","real time","2269.0"
"","real time systems","2200.0"
"","embedded systems","1482.0"
"","embedded software","1394.0"
"","hard real time","1000.0"
"","hardware software partitioning","900.0"
"","timing constraints","900.0"
"","real time scheduling","800.0"
"","real time system","700.0"
"","time scheduling","700.0"
"185","interprocess communication","1100.0"
"","deadlock detection","900.0"
"","distributed operating","600.0"
"","distributed operating system","600.0"
"","remote procedure","600.0"
"","cloud computing","528.0"
"","distributed processing","500.0"
"","mapreduce jobs","500.0"
"","mapreduce","443.0"
"","distributed systems","428.0"
"186","gene expression","1917.0"
"","sequence alignment","1400.0"
"","amino acid","1300.0"
"","molecular biology","1300.0"
"","protein folding","1200.0"
"","dna sequences","1100.0"
"","protein protein","1000.0"
"","protein sequences","1000.0"
"","mass spectrometry","900.0"
"","protein","882.0"
"187","record linkage","1000.0"
"","duplicate detection","900.0"
"","question answering","543.0"
"","similarity search","514.0"
"","entity resolution","500.0"
"","inverted index","500.0"
"","text index","500.0"
"","index structure","400.0"
"","keyword search","400.0"
"","problem propose","400.0"
"189","time sharing","1100.0"
"","queueing networks","1000.0"
"","product form","600.0"
"","queueing model","600.0"
"","response time","501.0"
"","queueing network","500.0"
"","queueing","475.0"
"","system performance","444.0"
"","operating system","433.0"
"","performance analysis","413.0"
"190","multi agent","2124.0"
"","mobile agents","1700.0"
"","artificial intelligence","1513.0"
"","autonomous agents","1000.0"
"","agent based","908.0"
"","mobile agent","612.0"
"","agent oriented","600.0"
"","tuple spaces","600.0"
"","agent","590.0"
"","agent systems","542.0"
"191","privacy policy","1500.0"
"","privacy policies","1300.0"
"","digital forensics","1000.0"
"","law enforcement","1000.0"
"","privacy preferences","1000.0"
"","privacy security","900.0"
"","privacy concerns","752.0"
"","inside risks","700.0"
"","privacy issues","700.0"
"","privacy","631.0"
"192","process variation","1700.0"
"","process variations","1000.0"
"","variation aware","800.0"
"","monte carlo","790.0"
"","variations","676.0"
"","power analysis","600.0"
"","variation","523.0"
"","parameter variations","500.0"
"","statistical timing analysis","500.0"
"","leakage power","452.0"
"193","mediated communication","592.0"
"","group meetings","500.0"
"","group work","500.0"
"","meeting room","500.0"
"","cooperative work","421.0"
"","based collaborative","400.0"
"","collaboration support","400.0"
"","collaborative systems","400.0"
"","group editors","400.0"
"","groupware systems","400.0"
"194","data mining","12993.0"
"","mining","3279.0"
"","association rules","2500.0"
"","pattern mining","2200.0"
"","association rule mining","1800.0"
"","knowledge discovery","1700.0"
"","mining algorithms","1400.0"
"","rule mining","1300.0"
"","outlier detection","1100.0"
"","data data","1000.0"
"195","attribute grammars","2500.0"
"","attribute grammar","1400.0"
"","regular expression","1300.0"
"","syntax directed","1000.0"
"","context free grammars","900.0"
"","grammar","793.0"
"","grammars","781.0"
"","context free","700.0"
"","context free grammar","700.0"
"","free grammar","700.0"
"196","xml documents","1258.0"
"","text editing","1200.0"
"","word processing","800.0"
"","text editor","700.0"
"","text editors","700.0"
"","text processing","700.0"
"","xml document","630.0"
"","markup language","600.0"
"","spelling correction","600.0"
"","structured documents","600.0"
"197","government agencies","1700.0"
"","government","1443.0"
"","digital government","1100.0"
"","public policy","1100.0"
"","public sector","800.0"
"","socio economic","800.0"
"","federal government","700.0"
"","south african","700.0"
"","united states","683.0"
"","digital divide","600.0"
"198","clone detection","2900.0"
"","device drivers","1800.0"
"","device driver","900.0"
"","operating systems","624.0"
"","control theory","500.0"
"","plagiarism detection","500.0"
"","clone management","400.0"
"","code clones","400.0"
"","collateral evolutions","400.0"
"","driver code","400.0"
"199","recommender systems","7600.0"
"","collaborative filtering","7300.0"
"","recommender system","3300.0"
"","recommender","1119.0"
"","recommendation systems","1100.0"
"","user preferences","1020.0"
"","recommendation system","1000.0"
"","recommendation","965.0"
"","cold start","900.0"
"","personalized recommendations","900.0"
"200","digital rights","1400.0"
"","intellectual property","1200.0"
"","copyright protection","1000.0"
"","digital watermarking","900.0"
"","shoulder surfing","900.0"
"","watermarking scheme","800.0"
"","rights expression","700.0"
"","watermarking","642.0"
"","digital rights management","600.0"
"","confidentiality integrity","500.0"
"201","access control","15224.0"
"","access control policies","3100.0"
"","role based access control","1900.0"
"","control policies","1800.0"
"","access control model","1100.0"
"","access control policy","1100.0"
"","security requirements","1000.0"
"","security policy","930.0"
"","security policies","858.0"
"","access control rbac","800.0"
"202","transactional memory","3500.0"
"","lock based","1000.0"
"","transactional","735.0"
"","software transactional memory","700.0"
"","programming models","600.0"
"","software transactional","600.0"
"","memory models","500.0"
"","relaxed memory","500.0"
"","transactional memory stm","500.0"
"","parallel programming","430.0"
"203","steiner tree","1300.0"
"","multicommodity flow","1000.0"
"","primal dual","1000.0"
"","approximation algorithm","959.0"
"","facility location","900.0"
"","approximation scheme","800.0"
"","approximation schemes","800.0"
"","approximation algorithms","753.0"
"","approximation ratio","702.0"
"","stable marriage","700.0"
"204","sensitive hashing","800.0"
"","nearest neighbors","700.0"
"","ground truth","600.0"
"","gender classification","500.0"
"","iris recognition","500.0"
"","pattern recognition","500.0"
"","sensitive hashing lsh","500.0"
"","nearest neighbor","473.0"
"","feature vectors","400.0"
"","locality sensitive hashing lsh","400.0"
"205","garbage collection","13500.0"
"","garbage collector","5300.0"
"","memory management","3828.0"
"","garbage","1376.0"
"","garbage collectors","900.0"
"","memory allocation","900.0"
"","garbage collected","800.0"
"","reference counting","800.0"
"","collector","621.0"
"","heap allocation","600.0"
"206","analytical model","700.0"
"","markov model","600.0"
"","markov models","600.0"
"","model model","600.0"
"","modeling analysis","500.0"
"","modeling approach","500.0"
"","modeling evaluation","400.0"
"","molecular dynamics","400.0"
"","parameters model","400.0"
"","predictive modeling","400.0"
"207","human computation","900.0"
"","editorial message","400.0"
"","data mining","317.0"
"","collected data","300.0"
"","current future","300.0"
"","elicit data","300.0"
"","previous work","300.0"
"","wide range","300.0"
"","recent years","256.0"
"","special track","253.0"
"208","massively parallel","1800.0"
"","parallel processing","1368.0"
"","parallel algorithms","1200.0"
"","parallel computer","1100.0"
"","parallel computers","1100.0"
"","number processors","900.0"
"","parallel machines","900.0"
"","deadlock free","800.0"
"","interprocessor communication","700.0"
"","parallel processor","600.0"
"209","shared memory","3571.0"
"","cache coherence","2300.0"
"","memory consistency","1400.0"
"","coherence protocol","1100.0"
"","shared memory multiprocessors","1100.0"
"","distributed shared memory","900.0"
"","memory multiprocessor","900.0"
"","memory multiprocessors","800.0"
"","coherence protocols","700.0"
"","false sharing","700.0"
"210","levels detail","800.0"
"","level detail","500.0"
"","surface simplification","400.0"
"","contingent multi","300.0"
"","transmission conventional stereoscopic","300.0"
"","visual quality","300.0"
"","high resolution","270.0"
"","data structure","253.0"
"","simplification","253.0"
"","detail","209.0"
"211","operating systems","2387.0"
"","operating system","2036.0"
"","unix operating","1100.0"
"","network interface","700.0"
"","system calls","700.0"
"","linux kernel","542.0"
"","linux operating","400.0"
"","microsoft windows","400.0"
"","operating system kernel","400.0"
"","operating system support","400.0"
"212","software architecture","6523.0"
"","software architectures","1500.0"
"","architectural","1188.0"
"","architectural description","1000.0"
"","architectural design","1000.0"
"","design decisions","1000.0"
"","architectural style","800.0"
"","architectural knowledge","600.0"
"","architectural views","600.0"
"","architecture description","600.0"
"213","search engine","1085.0"
"","web search","1005.0"
"","online advertising","1000.0"
"","search engines","864.0"
"","exploratory search","800.0"
"","web usage","800.0"
"","search results","702.0"
"","contextual advertising","700.0"
"","information seeking","700.0"
"","search strategies","700.0"
"214","hoc networks","3299.0"
"","mobile hoc","1806.0"
"","sensor networks","1540.0"
"","mobile hoc networks","1444.0"
"","hoc","1236.0"
"","routing protocols","1207.0"
"","wireless hoc","1200.0"
"","routing protocol","1125.0"
"","communication networks","1000.0"
"","hoc network","916.0"
"215","del icio","2200.0"
"","tag clouds","1900.0"
"","social tagging","1800.0"
"","tags","1363.0"
"","tag recommendation","1300.0"
"","social annotations","1200.0"
"","social bookmarking","1200.0"
"","tag","1143.0"
"","social tags","1100.0"
"","tagging systems","1000.0"
"216","music","2463.0"
"","music genre","1300.0"
"","music player","1000.0"
"","sound","877.0"
"","audio signal","800.0"
"","based music","800.0"
"","music composition","800.0"
"","musical instruments","800.0"
"","musical","701.0"
"","musical instrument","700.0"
"217","photo sharing","2100.0"
"","digital photos","1000.0"
"","photo collections","900.0"
"","photo album","700.0"
"","photo","629.0"
"","photos","566.0"
"","personal media","400.0"
"","personal photos","400.0"
"","photo management","400.0"
"","mobile devices","340.0"
"218","social network","13433.0"
"","social networks","12010.0"
"","social media","2688.0"
"","social networking","1692.0"
"","social network analysis","1400.0"
"","online social networks","1300.0"
"","online social","1200.0"
"","network analysis","1100.0"
"","social interactions","700.0"
"","social networking sites","700.0"
"219","cloud computing","7748.0"
"","grid computing","4200.0"
"","grid","1907.0"
"","cloud","1604.0"
"","computing resources","1200.0"
"","pcloud computing","1200.0"
"","grid applications","1000.0"
"","grid resources","900.0"
"","grid services","900.0"
"","resource","896.0"
"220","annotated bibliography","1900.0"
"","http www","1900.0"
"","sigact news","1400.0"
"","international workshop","1369.0"
"","acm","1024.0"
"","day day","1000.0"
"","conference","928.0"
"","acm shut","900.0"
"","past years","900.0"
"","computer science","880.0"
"221","training program","600.0"
"","system development","500.0"
"","systems design","500.0"
"","systems development","500.0"
"","systems developed","400.0"
"","training programs","400.0"
"","user services","309.0"
"","training","290.0"
"","project management","280.0"
"","computer center","263.0"
"222","multi agent","1911.0"
"","planning","653.0"
"","agent","519.0"
"","agents","431.0"
"","agent architecture","400.0"
"","bdi agent","400.0"
"","multi robot","400.0"
"","multiagent system","400.0"
"","bdi agents","300.0"
"","tasks agents","300.0"
"223","debugging","1338.0"
"","fault localization","1300.0"
"","execution traces","1000.0"
"","debugging tools","800.0"
"","level debugging","800.0"
"","program behavior","800.0"
"","interactive debugging","700.0"
"","program traces","700.0"
"","debugging techniques","600.0"
